name,set,availability,rarity,rating,num_votes,categories,pic
Headlock,Vicious Vice,Shop,Rare,3.2,211.0,"['Halloween', 'Holidays', 'Male']",https://progameguides.com/wp-content/uploads/2020/10/fortnite-headlock-featured-300x300.png
Headhunter Prime,Origins,Shop,Uncommon,3.8,354.0,"['Female', 'Styles']",https://progameguides.com/wp-content/uploads/2020/11/fortnite-headhunter-prime-icon-300x300.png
Heart-Stopper,Heart-Stopper,Shop,Rare,3.8,169.0,"['Female', 'Styles']",https://progameguides.com/wp-content/uploads/2020/11/fortnite-heart-stopper-icon-300x300.png
Heartbreaker,Royale Hearts,Shop,Rare,3.1,4200.0,"['Holidays', 'Male', ""Valentine's Day""]",https://progameguides.com/wp-content/uploads/2019/04/fortnite-heartbreaker-icon-png-300x300.png
Heidi,Oktoberfest,Shop,Epic,3.3,5100.0,['Female'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-heidi-featured-png-300x300.png
Heist,Getaway Gang,Shop,Rare,3.3,2200.0,"['Male', 'Styles']",https://progameguides.com/wp-content/uploads/2019/06/fortnite-skin-heist-featured-300x300.png
Hemlock,Arcane Arts,Shop,Epic,3.9,2200.0,"['Annual', 'Female', 'Halloween', 'Holidays', 'Styles']",https://progameguides.com/wp-content/uploads/2019/10/fortnite-hemlock-skin-icon-300x300.png
Highland Warrior,Laoch,Shop,Epic,2.6,3200.0,"['Female', 'Holidays', ""St. Patrick's Day""]",https://progameguides.com/wp-content/uploads/2019/04/fortnite-highland-warrior-icon-png-300x300.png
Highrise Assault Trooper,Highrise Assault Trooper,Shop,Uncommon,2.2,3200.0,['Male'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-highrise-assault-trooper-icon-png-300x300.png
Hit Man,Ready Aim Fire!,Shop,Epic,3.4,955.0,"['Male', 'Reactive']",https://progameguides.com/wp-content/uploads/2020/03/fortnite-hit-man-icon-300x300.png
Hollowhead,Pumpkin Patch,Shop,Epic,3.6,5500.0,"['Annual', 'Halloween', 'Holidays', 'Male']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-hollowhead-featured-png-300x300.png
Holly Jammer,Cozy Command,Shop,Uncommon,0.3,1100.0,"['Annual', 'Christmas', 'Female', 'Holidays', 'Styles']",https://progameguides.com/wp-content/uploads/2019/12/fortnite-holly-jammer-skin-icon-300x300.png
Hopper,Hoppity Heist,Shop,Rare,3.1,3000.0,"['Easter', 'Holidays', 'Male', 'Styles']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-hopper-icon-png-300x300.png
Hot Zone,Zone Wars,Bundle,Rare,3.1,813.0,[],https://progameguides.com/wp-content/uploads/2019/09/fortnite-hot-zone-skin-icon-300x300.png
Hothouse,The Leftovers,Shop,Epic,3.4,1600.0,"['Male', 'Styles']",https://progameguides.com/wp-content/uploads/2019/08/fortnite-hothouse-skin-icon-300x300.png
Hotwire,Wild Shock,Shop,Epic,3.2,1100.0,['Male'],https://progameguides.com/wp-content/uploads/2019/09/fortnite-hotwire-skin-icon-300x300.png
Hugo,Espionage,Shop,Rare,3.2,697.0,"['Male', 'Styles']",https://progameguides.com/wp-content/uploads/2020/04/fortnite-hugo-skin-icon-300x300.png
Hunter,Boundless,Shop,Legendary,3.7,253.0,"['Built-in', 'Male', 'Styles']",https://progameguides.com/wp-content/uploads/2020/09/fortnite-hunter-featured-300x300.png
Huntress,Norse,Battle Pass,Epic,2.7,3400.0,['Female'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-huntress-icon-png-300x300.png
Hush,Silent Stalkers,Shop,Rare,3.9,2200.0,['Female'],https://progameguides.com/wp-content/uploads/2019/11/fortnite-hush-skin-featured-300x300.png
Antheia,Courageous Era,Shop,Epic,3.2,163.0,[],https://progameguides.com/wp-content/uploads/2020/09/fortnite-hyacinth-skin-icon-300x300.png
Hybrid,Brood,Battle Pass,Legendary,3.7,5700.0,"['Male', 'Styles']",https://progameguides.com/wp-content/uploads/2019/02/fortnite-hybrid-stage4-450x450.jpg
Hyperion,Hyper,Shop,Rare,2.2,3100.0,['Male'],https://progameguides.com/wp-content/uploads/2018/08/fortnite-hyperion-featured-png-300x300.png
Hypernova,Tech Ops,Shop,Rare,2.4,2700.0,['Male'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-hypernova-featured-png-300x300.png
